20250724140846,Humid: 35.40 %, Temp: 27.30 Celsius
20250724140849,35.40,27.30
20250724140901,Humid: 36.20 %, Temp: 27.20 Celsius
20250724140904,36.20,27.20
20250724140916,Humid: 37.90 %, Temp: 27.00 Celsius
20250724140919,37.90,27.00
20250724140931,Humid: 35.90 %, Temp: 26.80 Celsius
20250724140934,35.90,26.80
20250724140946,Humid: 36.90 %, Temp: 26.70 Celsius
20250724140949,36.90,26.70
20250724141001,Humid: 34.00 %, Temp: 26.50 Celsius
20250724141004,34.00,26.50
20250724141016,Humid: 33.00 %, Temp: 26.40 Celsius
20250724141019,33.00,26.40
20250724141031,Humid: 35.20 %, Temp: 26.20 Celsius
20250724141034,35.20,26.20
20250724141046,Humid: 33.20 %, Temp: 26.10 Celsius
20250724141049,33.20,26.10
20250724141101,Humid: 33.40 %, Temp: 26.00 Celsius
20250724141104,33.40,26.00
20250724141116,Humid: 35.00 %, Temp: 25.80 Celsius
20250724141119,35.00,25.80
20250724141131,Humid: 42.50 %, Temp: 25.80 Celsius
20250724141134,42.50,25.80
20250724141146,Humid: 35.80 %, Temp: 25.70 Celsius
20250724141149,35.80,25.70
